Transect,Bank,Algae,Bacterial Mat,Chordata,Cnidaria,Coral,Dead Coral,Echinoderm,Hard Bottom,Hydroid,Misc.,Mollusca,Porifera,Soft Bottom,Tunicata
EBC04-201005212,East FGB,0.568224299,0,0,0,0.254205607,0,0,0.087850467,0,0,0,0.007476636,0.082242991,0
EBC05-201005212,East FGB,0.229007634,0,0.002544529,0,0.664122137,0,0,0.071246819,0,0,0,0.005089059,0.027989822,0
EBC06-201005212,East FGB,0.312997347,0,0,0,0.482758621,0,0,0.175066313,0,0,0,0.00530504,0.023872679,0
EBCA02-201005181,East FGB,0.040189125,0,0,0.002364066,0,0,0,0,0,0,0,0.004728132,0.952718676,0
EBCA03-201005181,East FGB,0.005597015,0,0,0.024253731,0,0,0,0,0,0,0,0.001865672,0.968283582,0
EBCA04-201005181,East FGB,0.004754358,0,0,0.001584786,0,0,0,0,0,0,0,0,0.993660856,0
EBCA08-201005171,East FGB,0.795792079,0,0,0.002475248,0.002475248,0,0.001237624,0.077970297,0,0,0,0.002475248,0.117574257,0
EBCA09-201005171,East FGB,0.734087694,0,0,0.008486563,0,0,0,0.069306931,0,0,0.001414427,0.007072136,0.179632249,0
EBCA09-201105162,East FGB,0.625468165,0,0,0,0,0,0,0.174157303,0,0,0,0.005617978,0.194756554,0
EBCA10-201005171,East FGB,0.733017378,0,0,0.007898894,0,0,0,0.139020537,0,0,0.001579779,0.017377567,0.101105845,0
EBCA10-201105162,East FGB,0.53078203,0,0.001663894,0,0,0,0,0.331114809,0,0,0,0.029950083,0.106489185,0
EBCA11-201005171,East FGB,0.021517554,0,0,0.004530011,0,0,0,0,0,0,0,0.003397508,0.970554926,0
EBCA12-201005172,East FGB,0.748,0,0,0,0,0,0,0.108,0,0,0,0.004,0.14,0
EBCA13-201005172,East FGB,0.431328036,0,0,0.001135074,0,0,0,0.01816118,0,0,0.001135074,0.004540295,0.543700341,0
EBCA14-201005171,East FGB,0.356850716,0,0,0,0.180981595,0,0,0.038854806,0,0,0,0.00408998,0.419222904,0
EBCA15-201005172,East FGB,0.388663968,0,0,0,0,0,0,0.070850202,0,0,0,0.038461538,0.502024291,0
EBCA29-201105163,East FGB,0.811563169,0,0,0.002141328,0,0,0,0.111349036,0,0,0,0.034261242,0.040685225,0
EBCA30-201105163,East FGB,0.77443609,0,0,0.003759398,0,0,0,0.163533835,0,0,0,0.016917293,0.041353383,0
EBCA34-201105163,East FGB,0.804979253,0,0,0.008298755,0,0,0,0.145228216,0,0,0,0.010373444,0.031120332,0
EBCA36-201105163,East FGB,0.643548387,0,0.001612903,0.011290323,0,0,0,0.169354839,0,0,0,0.020967742,0.153225806,0
EBCA38-201105163,East FGB,0.556603774,0,0.002358491,0.056603774,0,0,0,0.202830189,0,0,0,0.007075472,0.174528302,0
EBCA41-201105163,East FGB,0.022018349,0,0.001834862,0.00733945,0,0,0,0.053211009,0,0,0,0.003669725,0.911926606,0
EBCA41-201207311,East FGB,0.747099768,0,0,0,0,0,0,0.07424594,0,0,0,0.055684455,0.122969838,0
EBCA42-201105163,East FGB,0.013363029,0,0,0.006681514,0,0,0,0.004454343,0,0,0,0.031180401,0.944320713,0
EBCA42-201207311,East FGB,0.789041096,0,0,0,0,0,0,0.104109589,0,0,0,0.01369863,0.093150685,0
EBCA43-201105163,East FGB,0,0,0.004056795,0.006085193,0,0,0.012170385,0.002028398,0,0,0,0,0.975659229,0
EBCA43-201207311,East FGB,0.651226158,0.002724796,0,0.005449591,0,0,0,0.133514986,0,0,0,0.027247956,0.179836512,0
EBCA44-201207311,East FGB,0.815426997,0,0,0,0,0,0,0.082644628,0,0,0,0.011019284,0.090909091,0
EBCA45-201105163,East FGB,0.039014374,0,0,0.026694045,0,0,0.055441478,0.004106776,0,0,0,0.026694045,0.848049281,0
EBCA45-201207305,East FGB,0.859416446,0,0,0,0,0,0,0.108753316,0,0,0,0.026525199,0.00530504,0
EBCA46-201207305,East FGB,0.239598278,0,0,0,0.00143472,0,0,0.025824964,0,0,0,0.007173601,0.725968436,0
EBCA47-201207305,East FGB,0.724637681,0.002898551,0,0,0,0,0,0.153623188,0,0,0,0.046376812,0.072463768,0
EBCA48-201207305,East FGB,0.075,0.002272727,0,0,0,0,0,0.009090909,0,0,0,0.015909091,0.897727273,0
EBCA49-201207305,East FGB,0,0,0,0,0,0,0,0.002,0,0,0,0,0.998,0
EBCA50-201207303,East FGB,0.131367292,0.008042895,0,0.021447721,0.002680965,0,0,0.053619303,0,0,0,0.010723861,0.772117962,0
EBCA54-201207302,East FGB,0.035561878,0,0,0.009957326,0.001422475,0,0,0.001422475,0,0,0,0.014224751,0.93029872,0.007112376
EBCA55-201207302,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBCA56-201207302,East FGB,0.172588832,0,0.001692047,0.023688663,0.001692047,0,0,0.008460237,0,0,0,0.00676819,0.785109983,0
EBCA57-201207302,East FGB,0.001253133,0,0,0.013784461,0,0,0,0.001253133,0,0,0,0,0.983709273,0
EBCA58-201207302,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBCA59-201207302,East FGB,0,0,0,0.005474453,0,0,0,0,0,0,0,0.00729927,0.987226277,0
EBCA60-201207302,East FGB,0.001792115,0,0,0.014336918,0,0,0,0,0,0,0,0.007168459,0.976702509,0
EBDC00-201105161,East FGB,0.002673797,0,0,0,0,0,0.004010695,0.002673797,0,0,0,0.001336898,0.989304813,0
EBDC01-201005184,East FGB,0,0,0.002941176,0.014705882,0,0,0,0,0,0,0,0,0.982352941,0
EBDC01-201105161,East FGB,0.007537688,0,0,0,0,0,0.002512563,0,0,0,0,0,0.989949749,0
EBDC02-201005184,East FGB,0,0,0,0.019858156,0,0,0,0,0,0,0,0.00141844,0.978723404,0
EBDC02-201105161,East FGB,0,0,0,0,0,0,0.004008016,0,0,0,0,0,0.995991984,0
EBDC03-201005182,East FGB,0,0,0,0.005805515,0,0,0,0,0,0,0,0,0.994194485,0
EBDC04-201005182,East FGB,0,0,0,0.00257732,0,0,0,0,0,0,0,0,0.99742268,0
EBDC05-201005184,East FGB,0,0,0,0.004739336,0,0,0,0,0,0,0,0,0.995260664,0
EBDC05-201105161,East FGB,0,0,0,0.005,0,0,0,0,0,0,0,0,0.995,0
EBDC06-201005181,East FGB,0,0,0,0.001221001,0,0,0,0,0,0,0,0,0.998778999,0
EBDC08-201005181,East FGB,0,0,0,0.011925043,0,0,0,0,0,0,0,0,0.988074957,0
EBDC39-201105163,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBDC46-201105163,East FGB,0.008016032,0,0,0,0,0,0,0,0,0,0,0,0.991983968,0
EBDC47-201105171,East FGB,0.005008347,0,0,0.013355593,0,0,0,0.005008347,0,0,0,0.001669449,0.974958264,0
EBDC48-201105163,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBDC49-201105163,East FGB,0,0,0,0.008888889,0,0,0,0,0,0,0,0,0.991111111,0
EBDC50-201105171,East FGB,0,0,0,0,0,0,0,0,0,0,0,0.004,0.996,0
EBDC51-201105163,East FGB,0,0,0,0.007272727,0,0,0,0.003636364,0,0,0,0,0.989090909,0
EBDC53-201105172,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBDC54-201105172,East FGB,0,0,0,0,0,0,0.009090909,0,0,0,0,0,0.990909091,0
EBDC61-201208027,East FGB,0.002277904,0,0,0.01594533,0.020501139,0,0.012528474,0.001138952,0,0,0,0.006833713,0.940774487,0
EBDC62-201208027,East FGB,0.002671416,0,0.000890472,0.016028495,0,0,0.002671416,0.002671416,0,0,0,0.00445236,0.970614426,0
EBDC65-201208026,East FGB,0.002066116,0,0,0.010330579,0,0,0.006198347,0,0,0,0,0,0.981404959,0
EBDC66-201208026,East FGB,0.068814056,0,0.011713031,0.030746706,0,0,0,0.089311859,0,0,0,0.039531479,0.75988287,0
EBDC70-201208024,East FGB,0.006354249,0,0.004765687,0.046862589,0.000794281,0,0.002382844,0.001588562,0,0,0,0.002382844,0.934868944,0
EBDC71-201208025,East FGB,0.006521739,0,0.002173913,0.063043478,0,0,0.005434783,0.005434783,0,0,0,0.00326087,0.913043478,0.001086957
EBDC73-201208023,East FGB,0.002222222,0,0,0.003333333,0,0,0,0,0,0,0,0.004444444,0.99,0
EBDC74-201208022,East FGB,0,0,0.002222222,0.007777778,0,0,0,0,0,0,0,0,0.99,0
EBDC75-201207302,East FGB,0.054945055,0,0,0.021978022,0,0,0.032967033,0.005494505,0,0,0,0.043956044,0.840659341,0
EBDC76-201207302,East FGB,0.019646365,0,0.001964637,0.007858546,0,0,0.00589391,0.003929273,0,0,0,0.017681729,0.94302554,0
EBDC77-201207304,East FGB,0.126436782,0.003831418,0,0.072796935,0,0,0.001915709,0.03256705,0,0,0,0.022988506,0.739463602,0
EBDC78-201207304,East FGB,0.023255814,0,0.003875969,0.013565891,0,0,0,0,0.003875969,0,0,0.005813953,0.949612403,0
EBDC79-201207301,East FGB,0.003738318,0,0.001869159,0.024299065,0.003738318,0,0,0,0,0,0,0.001869159,0.964485981,0
EBDC80-201207301,East FGB,0,0,0,0.01615074,0,0,0,0,0,0,0,0,0.982503365,0.001345895
EBDC81-201208021,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBDC82-201207301,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBDC83-201207301,East FGB,0,0,0,0.024067389,0,0,0,0,0,0,0,0,0.975932611,0
EBDC84-201207301,East FGB,0,0,0,0.00125,0,0,0,0,0,0,0,0,0.99875,0
EBDC85-201207301,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBSB03-201105161,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBSB10-201005173,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBSB15-201005172,East FGB,0,0,0,0.006896552,0,0,0,0,0,0,0,0.001724138,0.99137931,0
EBSB35-201105163,East FGB,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201507091 - Transect 01,Geyer,0.848110465,0,0,0.013081395,0.015988372,0,0.01380814,0.04505814,0.000726744,0,0,0.005087209,0.058139535,0
201507091 - Transect 02,Geyer,0.751124438,0.000749625,0,0.003748126,0,0,0.005997001,0.114692654,0,0,0,0.005997001,0.117691154,0
201507091 - Transect 03,Geyer,0.806808511,0.000851064,0,0.002553191,0.031489362,0.001702128,0.024680851,0.06893617,0,0,0,0.005957447,0.057021277,0
201507091 - Transect 04,Geyer,0.521467603,0,0,0.00078064,0,0,0.007806401,0.120999219,0,0,0,0.00312256,0.345823575,0
201507091 - Transect 05,Geyer,0.417678812,0,0,0.000674764,0,0,0.004723347,0.038461538,0.001349528,0.000674764,0,0.000674764,0.535762483,0
201507091 - Transect 06,Geyer,0.764317181,0.002936858,0,0.007342144,0,0,0,0.042584435,0,0.000734214,0,0.003671072,0.178414097,0
201507091 - Transect 07,Geyer,0.627596439,0,0.00074184,0.011127596,0,0,0.002225519,0.117952522,0,0,0,0.004451039,0.235905045,0
201507091 - Transect 08,Geyer,0.787530763,0,0,0.008203445,0,0,0.002461034,0.076292043,0,0.000820345,0,0.011484824,0.113207547,0
201507091 - Transect 09,Geyer,0.559359068,0,0,0.001456664,0,0,0.018208303,0.046613256,0,0.001456664,0,0.001456664,0.371449381,0
201507092 - Transect 01,Geyer,0.500352858,0,0,0.000705716,0,0.000705716,0.030345801,0.05716302,0.000705716,0,0,0.001411433,0.408609739,0
201507092 - Transect 02,Geyer,0.523101018,0,0,0,0,0,0.004698512,0.036021926,0.000783085,0.000783085,0,0.000783085,0.433829287,0
201507092 - Transect 03,Geyer,0.370520622,0,0,0.00270453,0,0,0.006085193,0.041920216,0,0,0,0.000676133,0.578093306,0
201507092 - Transect 04,Geyer,0.790200138,0,0.005521049,0.001380262,0,0,0,0.140096618,0,0.000690131,0,0.013802622,0.048309179,0
201507092 - Transect 05,Geyer,0.733588273,0,0,0.001912046,0,0,0.003824092,0.025493945,0,0,0,0.010834927,0.224346718,0
201507092 - Transect 06,Geyer,0.885984023,0,0.007262164,0.007262164,0,0,0,0.040668119,0,0,0,0.013798112,0.045025418,0
201507092 - Transect 07,Geyer,0.814002829,0,0,0.004243281,0,0,0.006364922,0.018387553,0,0.000707214,0,0.007072136,0.149222065,0
201507092 - Transect 08,Geyer,0.913499345,0,0,0.003931848,0.002621232,0,0.001310616,0.011795544,0,0,0,0.00327654,0.063564875,0
201507093 - Transect 01,Geyer,0.952875953,0,0.000693001,0,0,0,0,0.012474012,0,0,0,0.026334026,0.007623008,0
201507093 - Transect 02,Geyer,0.580296896,0.013495277,0.002024291,0,0,0,0,0.043859649,0,0,0,0.016194332,0.344129555,0
201507093 - Transect 03,Geyer,0.931497175,0,0,0,0,0,0,0.016949153,0,0,0,0.027542373,0.024011299,0
201507093 - Transect 04,Geyer,0.43381295,0,0,0.010791367,0,0.000719424,0,0.015107914,0.000719424,0,0,0.001438849,0.537410072,0
201507101 - Transect 01,Geyer,0.606399187,0,0,0.005586592,0.000507872,0,0.004062976,0.034027425,0,0,0,0.004062976,0.345352971,0
201507101 - Transect 02,Geyer,0.62195122,0.012912482,0.00071736,0.007173601,0,0,0.00143472,0.031563845,0.00071736,0,0,0.00215208,0.321377331,0
201507101 - Transect 03,Geyer,0.915201005,0.000628141,0,0.000628141,0.001256281,0,0.001884422,0.021984925,0,0,0,0.005025126,0.05339196,0
201507102 - Transect 01,Geyer,0.297329377,0,0.000593472,0.00652819,0,0.001186944,0.010682493,0.008308605,0,0,0,0.001186944,0.674183976,0
201507102 - Transect 02,Geyer,0.943200437,0,0,0.008192245,0.006553796,0,0,0.008738394,0.00054615,0.001092299,0,0.026761333,0.004915347,0
201507103 - Transect 01,Geyer,0.599630996,0.000615006,0.001845018,0.011070111,0,0,0,0.044280443,0.001230012,0,0,0.005535055,0.335793358,0
201507104 - Transect 01,Geyer,0.857226107,0,0,0.03030303,0,0,0,0.03962704,0,0,0,0.001165501,0.071678322,0
201507105 - Transect 01,Geyer,0.423225096,0,0.001651073,0.002751789,0,0,0.011557512,0.030269675,0,0,0,0.001100715,0.529444139,0
201410271 - Transect 01,McGrail,0.089485459,0,0,0.004474273,0,0.002237136,0,0.049217002,0.006711409,0,0,0,0.84787472,0
201410271 - Transect 02,McGrail,0.332302937,0.001545595,0,0.010819165,0,0,0.00309119,0.021638331,0.041731066,0.001545595,0,0,0.587326121,0
201410271 - Transect 03,McGrail,0.713170732,0.00195122,0,0.007804878,0.00195122,0,0.00097561,0.037073171,0,0,0,0.008780488,0.228292683,0
201410271 - Transect 04,McGrail,0.648897059,0.000919118,0.005514706,0,0.004595588,0,0,0.193014706,0,0,0,0.025735294,0.121323529,0
201410271 - Transect 05,McGrail,0.586818758,0,0.003802281,0.000633714,0.000633714,0,0,0.136882129,0,0.001267427,0,0.027883397,0.24207858,0
201410271 - Transect 06,McGrail,0.754895341,0,0.001350439,0.002700878,0.000675219,0,0,0.087778528,0.002700878,0,0,0.004051317,0.1458474,0
201410271 - Transect 07,McGrail,0.130091185,0.000607903,0.000607903,0.010942249,0,0.000607903,0.012765957,0.151975684,0.000607903,0,0,0.004863222,0.686930091,0
201410271 - Transect 08,McGrail,0.304714989,0.00070373,0,0.00140746,0.00070373,0.00070373,0.022519353,0.12104152,0.00070373,0.00070373,0,0.002111189,0.54468684,0
201410271 - Transect 09,McGrail,0.000534188,0,0,0.002136752,0,0.001602564,0.001068376,0.016559829,0,0,0,0.000534188,0.977564103,0
201410271 - Transect 10,McGrail,0.917425228,0,0,0.009102731,0.006501951,0.000650195,0,0.035760728,0.000650195,0,0,0.026657997,0.003250975,0
201410271 - Transect 11,McGrail,0.117231638,0.011299435,0.002118644,0.001412429,0,0,0,0.472457627,0,0,0,0.003531073,0.391949153,0
201410272 - Transect 01,McGrail,0.88141994,0.015861027,0.000755287,0.004531722,0.012839879,0,0,0.004531722,0.003021148,0,0,0.005287009,0.071752266,0
201410272 - Transect 02,McGrail,0.889714286,0,0.000571429,0.013714286,0.014857143,0,0,0.008,0.001714286,0.001142857,0,0.034285714,0.036,0
201410272 - Transect 03,McGrail,0.860699467,0.002371073,0.001185536,0,0.000592768,0,0,0.009484292,0.005927682,0.001778305,0,0.051570836,0.066390041,0
201410272 - Transect 04,McGrail,0.841939547,0,0.001259446,0,0.058564232,0,0,0.011335013,0,0,0,0.012594458,0.074307305,0
201410272 - Transect 05,McGrail,0.922526042,0,0.000651042,0,0.002604167,0,0,0.034505208,0.001953125,0,0,0.007161458,0.030598958,0
201410272 - Transect 06,McGrail,0.858208955,0.012686567,0.000746269,0,0.000746269,0,0,0.01641791,0,0,0,0.002238806,0.108955224,0
201410272 - Transect 07,McGrail,0.947405828,0,0,0,0.001421464,0,0.000710732,0.012793177,0,0,0,0.005685856,0.031982942,0
201410272 - Transect 08,McGrail,0.750223015,0.071364853,0,0.008028546,0,0,0,0.033898305,0.001784121,0,0,0,0.13470116,0
201410272 - Transect 09,McGrail,0.966730646,0,0.000639795,0.000639795,0.001919386,0.000639795,0,0.011516315,0.003838772,0,0,0.008957134,0.005118362,0
201410272 - Transect 10,McGrail,0.896127843,0,0,0,0,0,0,0.020897357,0,0,0,0.003073141,0.079901659,0
201410281 - Transect 01,McGrail,0.000652316,0,0,0,0,0,0.006523157,0.02283105,0,0.000652316,0,0.000652316,0.968688845,0
201410281 - Transect 02,McGrail,0.029664325,0,0,0.007806401,0,0.00156128,0,0.037470726,0,0,0,0.00156128,0.921935988,0
201410281 - Transect 03,McGrail,0.088791849,0,0,0.00363901,0,0.001455604,0,0.061863173,0.000727802,0,0,0.004366812,0.83915575,0
201410281 - Transect 04,McGrail,0.146511628,0.011627907,0,0.010852713,0,0.002325581,0.001550388,0.185271318,0.001550388,0,0,0.007751938,0.63255814,0
201410281 - Transect 05,McGrail,0.305737705,0,0,0.025409836,0,0,0.004098361,0.050819672,0.003278689,0,0,0.000819672,0.609836066,0
201410281 - Transect 06,McGrail,0,0,0,0.012589928,0,0.009892086,0.000899281,0.150179856,0,0,0,0.004496403,0.821942446,0
201410281 - Transect 07,McGrail,0,0,0,0.048461538,0,0.005384615,0.019230769,0.22,0,0,0,0.009230769,0.697692308,0
201410281 - Transect 08,McGrail,0,0,0,0.005005005,0,0,0.001001001,0.001001001,0,0,0,0,0.992992993,0
201410282 - Transect 01,McGrail,0.737660581,0,0.00540906,0.001352265,0.000676133,0,0,0.033130494,0.000676133,0,0,0.043948614,0.176470588,0.000676133
201410282 - Transect 02,McGrail,0.795422031,0,0.001430615,0.000715308,0,0,0,0.040057225,0,0,0,0.037195994,0.125178827,0
201507071 - Transect 01,McGrail,0.937311178,0,0,0.003776435,0.024924471,0,0.001510574,0.00755287,0.000755287,0.001510574,0,0.006042296,0.016616314,0
201507071 - Transect 02,McGrail,0.783211679,0,0.000729927,0,0.003649635,0,0,0.147445255,0.003649635,0,0,0.029927007,0.031386861,0
201507071 - Transect 03,McGrail,0.883750803,0,0,0.004495825,0.003211304,0.000642261,0.001284522,0.048169557,0.000642261,0.000642261,0,0.009633911,0.047527296,0
201507072 - Transect 01,McGrail,0.086460033,0.000815661,0.000815661,0.025285481,0,0,0,0.123164763,0,0,0,0.009787928,0.753670473,0
201507072 - Transect 02,McGrail,0.763157895,0.007060334,0,0,0,0.000641849,0.000641849,0.019255456,0.014120668,0.000641849,0,0.001283697,0.193196406,0
201507072 - Transect 03,McGrail,0.972738538,0.001858736,0,0.001239157,0.001239157,0.000619579,0,0.003097893,0.001858736,0,0,0.004337051,0.013011152,0
201507072 - Transect 04,McGrail,0.960851648,0,0,0.006868132,0.000686813,0,0,0.008928571,0.000686813,0,0,0.012362637,0.009615385,0
201507072 - Transect 05,McGrail,0.21237785,0.003908795,0,0,0,0,0,0.177850163,0,0,0,0.003257329,0.602605863,0
201507073 - Transect 01,McGrail,0.348694316,0,0.000768049,0.009984639,0,0,0,0.241935484,0.002304147,0,0,0.013056836,0.383256528,0
201507074 - Transect 01,McGrail,0.291463415,0,0.000609756,0.021341463,0,0.000609756,0.005487805,0.22804878,0.000609756,0,0,0.013414634,0.438414634,0
WBAL01-201005202,West FGB,0.81294964,0,0,0,0,0,0,0.125899281,0,0,0,0.032374101,0.028776978,0
WBAL02-201005202,West FGB,0.535502959,0,0,0,0,0,0,0.307692308,0,0,0,0,0.156804734,0
WBAL03-201005202,West FGB,0.72754491,0,0,0.002994012,0,0,0,0.092814371,0,0,0,0.032934132,0.143712575,0
WBAL04-201005202,West FGB,0.836805556,0,0,0,0,0,0,0.097222222,0,0,0,0.010416667,0.055555556,0
WBAL08-201005203,West FGB,0.532019704,0,0,0,0,0,0,0.246305419,0,0,0,0.128078818,0.093596059,0
WBAL09-201005203,West FGB,0.563636364,0,0,0,0,0,0,0.354545455,0,0,0,0.031818182,0.05,0
WBAL11-201005203,West FGB,0.678571429,0,0,0,0,0,0,0.185714286,0,0,0,0.021428571,0.114285714,0
WBAL13-201005203,West FGB,0.740990991,0,0.004504505,0,0.002252252,0,0,0.177927928,0,0,0,0.040540541,0.033783784,0
WBAL14-201005203,West FGB,0.677325581,0,0,0,0,0,0,0.255813953,0,0,0,0.005813953,0.061046512,0
WBAL15-201005191,West FGB,0.102296451,0,0,0.012526096,0,0,0,0.010438413,0,0,0,0.037578288,0.837160752,0
WBAN02-201105174,West FGB,0.090566038,0,0,0.003773585,0,0,0,0.137735849,0,0,0,0.009433962,0.758490566,0
WBAN04-201105174,West FGB,0.442260442,0,0,0,0,0,0.007371007,0.506142506,0,0,0,0.012285012,0.031941032,0
WBAN05-201105174,West FGB,0.572183099,0,0,0,0,0,0,0.345070423,0,0,0,0.003521127,0.079225352,0
WBAN07-201105174,West FGB,0,0,0,0,0,0,0,0.024048096,0,0,0,0.002004008,0.973947896,0
WBAN08-201105174,West FGB,0.708695652,0,0,0.015217391,0,0,0,0.247826087,0,0,0,0.004347826,0.023913043,0
WBAN08-201207314,West FGB,0.041666667,0,0,0.01,0,0,0,0.008333333,0,0,0,0.001666667,0.938333333,0
